0.43.1 help页面上线
0.43 全面简化订阅模板消息推送代码
0.42.15.2 优化调用量
0.42.15.1 移除手机号收集
0.42.15 桌面端不再生物认证
0.42.14.4 修复edit-profile页
0.42.14.3 修复bootstrap默认角色、PENDING_APPROVAL 模板幽灵记录
0.42.14.2 去除菜品评论区
0.42.14.1 问题修复
0.42.14 每周菜单功能恢复
0.42.13.2 修复登录页绕过验证bug
0.42.13.1 优化订阅模板缓存机制
0.42.13 订阅模版静默累积额度机制
0.42.12.1 文字优化
0.42.12 增加报备订阅消息推送
0.42.11.1 修复新注册用户微信推送
0.42.11 增加部门报备配置
0.42.10.2 修复login页面生物识别条件
0.42.10.1 整理app.wxss样式
0.42.10 添加订阅消息模板（注册、审批）
0.42.9 转移未用页面
0.42.8 新出行数据板
0.42.7 准备提交审核
0.42.6 报备配置
0.42.5 注册页部门等信息移至用户通过后填写
0.42.4.1 修复昵称获取问题
0.42.4 修复整体缓存机制
0.42.3 注册页需微信头像、昵称
0.42.2 样式统一
0.42.1 注册页填写居住区域
0.42 报备助手
0.41.3 权限缓存去除硬编码
0.41.2 问题修复
0.41.1 稳定
0.41 增加‘岗位配置’页，取消用户自行选择岗位
0.40.13 工作餐与副食改动
0.40.12 首页添加‘外出状态’
0.40.11 副食支持按类别
0.40.10 休假完善
0.40.9 稳定版
0.40.8 地址坐标更新
0.40.7 常用信息更新
0.40.6 修复休假计算
0.40.5 弹窗动画抽象
0.40.4 图片上云存储，图片下载带缓存，删除无用包，取消页面下拉刷新
0.40.3 问题修复
0.40.2 自动计算假期
0.40.1 删除无用包
0.40 休假申请
0.39.4 问题修复
0.39.3 尝试加入生物识别
0.39.2 常用信息
0.39.1 问题修复
0.39 增加‘通讯录’页和用户状态
0.38.2 增加‘手机’‘座机’
0.38.1 修复今日日程后端时差问题
0.38 可修改字体大小
0.37.3 CSS 变量令牌
0.37.2 审批中心问题修复
0.37.1 问题修复
0.37 增加新馆员到馆指南页
0.36.8 问题修复
0.36.7 购车借款修复
0.36.6 购车申请、购车借款申请可导出PDF
0.36.5 增加馆内购车借款申请功能
0.36.4 修复预约会议室问题
0.36.3 增加馆内购车申请
0.36.2 优化会议室查询
0.36.1 问题修复
0.36 购车管理
0.35.1 修复活动权限问题，新闻2小时爬取1次
0.35 增加‘活动专区’页面
0.34.5 菜品打分
Add DB_CLEAR_KEY protection for database clearing
0.34.3 修正bootstrap问题
